,question,answer,options,meta_info,answer_idx,metamap_phrases,predictions,reasoning
659,"A 64-year-old man with a history of type 2 diabetes mellitus is referred to a urologist. The patient has had pain when urinating and difficulty starting a stream of urine for over 4 months now. He is bothered because he has to urinate about 9 times every day, including several times when he wakes up at night. A digital rectal examination revealed multiple hard nodules in the prostate gland. A CT scan shows a nodule in the right lung that measures 3 cm. An ultrasound scan of his urinary bladder and prostate shows residual urine of > 200 mL and heterogeneous findings of the prostate gland. Biopsy reveals grade 2 prostate adenocarcinoma. Follow-up 9 months later shows his prostate cancer is well controlled with goserelin. If one considers pulmonary nodules that are the same size as this patient’s, which of the following additional findings on CT scans would most likely prompt the removal of such nodules?",Extending fine striations,"{'A': '‘Popcorn’ pattern', 'B': 'Subsolid component', 'C': 'Extending fine striations', 'D': 'Doubling time of < 1 month'}",step2&3,C,"['64 year old man' 'history of type 2 diabetes mellitus' 'referred'
 'urologist' 'patient' 'pain' 'difficulty starting' 'stream of urine'
 'over' 'months now' 'to' 'times' 'day' 'including several times'
 'wakes up' 'night'
 'digital rectal examination revealed multiple hard nodules' 'prostate'
 'CT scan shows' 'nodule' 'right' 'measures 3' 'ultrasound scan of'
 'urinary bladder' 'prostate shows residual urine' '200 mL'
 'heterogeneous findings of' 'prostate gland'
 'Biopsy reveals grade prostate adenocarcinoma'
 'Follow-up 9 months later shows' 'prostate cancer' 'well controlled'
 'goserelin' 'one considers pulmonary nodules' 'same size' 'patients'
 'following additional findings' 'CT scans' 'most likely prompt' 'removal'
 'nodules']",D,"', step_by_step=\""To determine which additional finding on CT scans would prompt the removal of pulmonary nodules of the same size as the patient's 3 cm nodule, we need to consider the characteristics of lung nodules and their potential for malignancy. \\n\\n1. **Doubling time**: A nodule with a doubling time of less than 1 month is considered highly suspicious for malignancy. Rapid growth typically indicates aggressive behavior, making it a strong candidate for surgical intervention. \\n\\n2. **\u2018Popcorn\u2019 pattern**: This is generally associated with hamartomas, which are benign tumors, hence not a prompt for removal. \\n\\n3. **Subsolid component**: While subsolid nodules can be concerning, they often require further evaluation rather than immediate removal, depending on their characteristics. \\n\\n4. **Extending fine striations**: This finding can be associated with certain benign conditions or specific types of tumors but does not necessarily indicate a need for immediate removal. \\n\\nBased on this analysis, the most concerning finding that would prompt the removal of a pulmonary nodule, especially one measuring 3 cm, would be a doubling time of less than 1 month, indicating a high likelihood of malignancy.\"""
660,"A 35-year-old man presents with a 7 month history of insomnia. The patient admitted to having trouble sleeping from a young age but became more aware of how much this is affecting his health after attending a sleep conference earlier this year. He is worried that his health has suffered because of this, and he is also concerned that he will not be able to pay his bills if he were to get sick. He has no past medical or psychiatric condition and is not known to use any recreational drugs. The patient arrived for his appointment an hour early because he was afraid he might miss it. The patient is afebrile and his vital signs are within normal limits. Physical examination reveals an irritable middle age man who is tense and somewhat inattentive during the interview. Which of the following is the most likely diagnosis in this patient?
 ",Generalized anxiety disorder,"{'A': 'Generalized anxiety disorder', 'B': 'Adjustment disorder', 'C': 'Social anxiety ', 'D': 'Normal worry'}",step2&3,A,"['35 year old man presents' 'month history' 'insomnia' 'patient admitted'
 'trouble sleeping' 'young age' 'more aware' 'affecting' 'health'
 'attending' 'sleep conference earlier' 'year' 'worried' 'health'
 'suffered' 'concerned' 'not' 'able to pay' 'bills' 'to' 'sick'
 'past medical' 'psychiatric condition' 'not known to use'
 'recreational drugs' 'patient arrived' 'appointment' 'hour early'
 'afraid' 'miss' 'patient' 'afebrile' 'vital signs' 'normal limits'
 'Physical examination reveals' 'irritable middle age man' 'tense'
 'somewhat inattentive' 'interview' 'following' 'most likely diagnosis'
 'patient']",A,"', step_by_step='1. The patient has a long-standing history of insomnia, which has worsened over the past 7 months. This indicates a persistent issue rather than a transient one. \\n2. He expresses significant worry about his health and financial stability, which are common concerns in anxiety disorders. \\n3. His behavior of arriving an hour early for the appointment due to fear of missing it suggests excessive worry and preoccupation with potential negative outcomes, indicative of anxiety. \\n4. The physical examination reveals irritability, tension, and inattentiveness, which are also symptoms associated with anxiety disorders. \\n5. Given the chronic nature of his insomnia, the excessive worry about health and finances, and the observed symptoms, the most fitting diagnosis is Generalized Anxiety Disorder (GAD"
661,A 3-year-old girl is brought to the cardiologist because of sweating and respiratory distress while eating. She is at the 30th percentile for height and 15th percentile for weight. Echocardiography shows a defect in the membranous portion of the interventricular septum and a moderately decreased left ventricular ejection fraction. Physical examination is most likely to show which of the following findings?,Systolic murmur that increases with hand clenching,"{'A': 'Systolic murmur that increases with hand clenching', 'B': 'Systolic murmur that increases with forced exhalation against a closed glottis', 'C': 'Diastolic murmur preceded by opening snap', 'D': 'Continuous murmur that is loudest at the second heart sound'}",step1,A,"['3 year old girl' 'brought' 'cardiologist' 'sweating'
 'respiratory distress' 'eating' 'percentile' 'height' 'percentile'
 'weight' 'Echocardiography shows' 'defect' 'membranous portion of'
 'interventricular septum'
 'moderately decreased left ventricular ejection fraction'
 'Physical examination' 'most likely to show' 'following findings']",A,"', step_by_step=\""1. The patient is a 3-year-old girl with symptoms of sweating and respiratory distress while eating, which suggests a cardiac issue. \\n2. The echocardiography reveals a defect in the membranous portion of the interventricular septum, which is characteristic of a ventricular septal defect (VSD"
662,"A 58-year-old man comes to the emergency department because of increasing shortness of breath and a nonproductive cough for the last week. Three weeks ago, he had a fever and a cough for 6 days after he returned from a trip to Southeast Asia. He has had a 4-kg (9-lb) weight loss over the past 3 months. He has bronchial asthma and hypertension. He has smoked one pack of cigarettes daily for 41 years. Current medications include an albuterol inhaler and enalapril. His temperature is 37.6°C (99.7°F), pulse is 88/min, respirations are 20/min, and blood pressure is 136/89 mm Hg. There is dullness to percussion, decreased breath sounds, and decreased tactile fremitus over the left lung base. Cardiac examination shows no abnormalities. Chest x-ray of this patient is most likely to show which of the following?",Blunting of costophrenic angle,"{'A': 'Elevation of diaphragm', 'B': 'Ground glass appearance', 'C': 'Widened intercostal spaces', 'D': 'Blunting of costophrenic angle'}",step2&3,D,"['58 year old man' 'emergency department' 'of increasing shortness'
 'breath' 'nonproductive cough' 'week' 'Three weeks' 'fever' 'cough'
 '6 days' 'returned' 'trip' 'Southeast Asia' '4 kg' 'weight loss over'
 'past 3 months' 'bronchial asthma' 'hypertension' 'smoked one pack'
 'cigarettes daily' 'years' 'Current medications include'
 'albuterol inhaler' 'enalapril' 'temperature' '99' 'pulse' '88 min'
 'respirations' '20 min' 'blood pressure' 'mm Hg' 'dullness' 'percussion'
 'decreased breath sounds' 'decreased tactile fremitus' 'left lung base'
 'Cardiac examination shows' 'abnormalities' 'Chest x-ray of' 'patient'
 'most likely to show' 'following']",D,"', step_by_step=\""1. The patient presents with increasing shortness of breath, a nonproductive cough, and a history of fever and cough after traveling, which raises suspicion for a pulmonary process.\\n2. The physical exam reveals dullness to percussion, decreased breath sounds, and decreased tactile fremitus over the left lung base, indicating a possible pleural effusion or fluid accumulation.\\n3. A pleural effusion often leads to blunting of the costophrenic angle on a chest x-ray, as the fluid accumulates in the pleural space and causes the angle between the diaphragm and the ribs to become less sharp.\\n4. The other options: \\n   - 'A' (Elevation of diaphragm"
663,"A 58-year-old man is brought to the emergency department because of sudden-onset right-sided body numbness for 1 hour. He reports that he has a 15-year history of hypertension treated with hydrochlorothiazide. He is alert and oriented to time, place, and person. Neurological examination shows decreased sensation to light pinprick and temperature on the right side of the face and body. Motor strength is 5/5 and deep tendon reflexes are 2+ bilaterally. Perfusion of which of the following structures of the brain is most likely impaired in this patient?",Ventral thalamus,"{'A': 'Posterior limb of the internal capsule', 'B': 'Lateral medulla', 'C': 'Basal pons', 'D': 'Ventral thalamus'}",step1,D,"['58 year old man' 'brought' 'emergency department'
 'of sudden-onset right-sided body numbness' 'hour' 'reports'
 'year history of hypertension treated with hydrochlorothiazide' 'alert'
 'oriented to time' 'place' 'person'
 'Neurological examination shows decreased sensation' 'light pinprick'
 'temperature' 'right side of' 'face' 'body' 'Motor strength' '5/5'
 'deep tendon reflexes' '2' 'Perfusion of' 'following structures' 'brain'
 'most likely impaired' 'patient']",A,"', step_by_step='1. The patient is experiencing sudden-onset right-sided body numbness, which indicates a neurological deficit likely due to an interruption in blood flow to a specific area of the brain. \\n2. The symptoms of decreased sensation to light pinprick and temperature suggest a problem with the pathways that carry these sensory modalities, typically involving the spinothalamic tract or the trigeminal nerve pathways for the face. \\n3. The right-sided numbness indicates that the lesion or impairment is on the left side of the brain, as sensory pathways cross over to the opposite side. \\n4. The posterior limb of the internal capsule is a critical area where sensory and motor fibers travel. A lesion here would affect both the sensory pathways for the body and the face, leading to the symptoms described. \\n5. The lateral medulla is associated with different sensory and motor functions, particularly affecting the face and body differently than described. The basal pons and ventral thalamus are less likely to be involved given the specific symptoms of right-sided numbness. \\n6. Therefore, the most likely impaired structure in this case is the posterior limb of the internal capsule, which is responsible for carrying the sensory information that is affected in this patient.'"
664,"A 9-year-old boy is brought in by his mother because of bruising on his torso and limbs. The patient’s mother denies any other symptoms and says he is otherwise healthy. Physical examination shows multiple petechiae and bruising on the torso and extremities bilaterally. The remainder of the physical exam is unremarkable. A complete blood count is normal. His coagulation profile reveals:
Prothrombin time (PT) 12 sec
Activated partial thromboplastin time (aPTT) 60 sec
Which of the following is the most likely diagnosis in this patient?",Von Willebrand disease,"{'A': 'Acute lymphoblastic leukemia', 'B': 'Immune thrombocytopenic purpura', 'C': 'Von Willebrand disease', 'D': 'Hemophilia A'}",step1,C,"['year old boy' 'brought' 'mother' 'bruising' 'torso' 'limbs'
 'patients mother denies' 'symptoms' 'healthy'
 'Physical examination shows multiple petechiae' 'bruising' 'torso'
 'extremities' 'physical exam' 'unremarkable' 'complete blood count'
 'normal' 'coagulation profile reveals' 'Prothrombin time'
 'sec Activated partial thromboplastin time' '60' 'following'
 'most likely diagnosis' 'patient']",D,"', step_by_step=\""1. The patient is a 9-year-old boy with bruising and petechiae, indicating a possible bleeding disorder.\\n2. The complete blood count is normal, which suggests that the issue is not due to a decrease in platelet count (thrombocytopenia"
665,"A 31-year-old man comes to the physician because of a 4-week history of a painless lump near the left wrist and tingling pain over his left hand. Physical examination shows a transilluminating, rubbery, fixed, non-tender mass over the lateral volar aspect of the left wrist. There is decreased sensation to pinprick on the thumb, index finger, middle finger, and radial half of the ring finger of the left hand. The tingling pain is aggravated by tapping over the swelling. Which of the following adjacent structures is at risk of entrapment if this mass persists?",Flexor pollicis longus tendon,"{'A': 'Ulnar artery', 'B': 'Flexor pollicis longus tendon', 'C': 'Flexor carpi radialis tendon', 'D': 'Ulnar nerve'}",step1,B,"['31 year old man' 'physician' '4 week history' 'painless lump'
 'left wrist' 'tingling pain' 'left' 'Physical examination shows'
 'rubbery' 'fixed' 'non-tender mass' 'lateral volar aspect of'
 'left wrist' 'decreased sensation' 'pinprick' 'thumb' 'index finger'
 'middle finger' 'radial half of' 'ring finger' 'left hand'
 'tingling pain' 'aggravated' 'swelling' 'following adjacent structures'
 'at risk' 'entrapment' 'mass']",D,"', step_by_step=\""The patient presents with a mass near the left wrist that is described as painless, transilluminating, and fixed. Additionally, there is decreased sensation in the distribution of the median nerve, which suggests that the mass may be compressing or irritating the median nerve. The tingling pain aggravated by tapping over the swelling is indicative of Tinel's sign, which is associated with nerve compression. Given the location of the mass and the symptoms, it is likely that the mass is affecting the median nerve. If this mass persists, the adjacent structure at risk of entrapment would be the ulnar nerve, particularly if the mass is located near the ulnar side of the wrist. Therefore, the correct answer is D: Ulnar nerve.\"""
666,"A 52-year-old man comes to the physician for the evaluation of a painless right-sided scrotal swelling. The swelling started several weeks ago but is not always present. Physical examination shows an 8-cm, soft, cystic nontender right-sided scrotal mass that transilluminates. The mass does not increase in size on coughing and it is possible to palpate normal tissue above the mass. There are no bowel sounds in the mass, and it does not reduce when the patient is in a supine position. Examination of the testis shows no abnormalities. Which of the following is the most likely cause of the mass?",Imbalance of fluid secretion and resorption by tunica vaginalis,"{'A': 'Imbalance of fluid secretion and resorption by tunica vaginalis', 'B': 'Failure of processus vaginalis to obliterate', 'C': 'Extension of abdominal contents through the inguinal canal', 'D': 'Dilation and tortuosity of veins in the pampiniform plexus'}",step1,A,"['year old man' 'physician' 'evaluation of'
 'painless right-sided scrotal swelling' 'swelling started' 'weeks'
 'not always present' 'Physical examination shows' 'soft'
 'cystic nontender right-sided scrotal' 'mass' 'not increase in size'
 'coughing' 'possible to palpate normal tissue' 'mass' 'bowel' 'mass'
 'not' 'patient' 'supine position' 'Examination of' 'testis shows'
 'abnormalities' 'following' 'most likely cause' 'mass']",A,"', step_by_step=\""1. The patient presents with a painless right-sided scrotal swelling that transilluminates, indicating that it is likely a fluid-filled structure. \\n2. The mass is described as soft and cystic, which is characteristic of a hydrocele. \\n3. The fact that the mass does not increase in size on coughing and that normal tissue can be palpated above the mass suggests that it is not an inguinal hernia (which would typically increase in size with coughing"
667,"A 40-year-old patient is brought into the emergency department after suffering a motor vehicle crash where he was pinned underneath his motorcycle for about 30 minutes before a passerby called 911. While evaluating him per your institution's trauma guidelines, you discover pain upon palpation of his right lower extremity which is much larger than his left counterpart. The patient admits to decreased sensation over his right lower extremity and cannot move his leg. There are no palpable dorsalis pedis or posterior tibial pulses on this extremity, and it is colder and paler in comparison to his left side. Measured compartment pressure of his distal right leg is 35 mm Hg. What is the next best step in this patient's care?",Emergent fasciotomy,"{'A': 'Emergent fasciotomy', 'B': 'Venous doppler', 'C': 'Arteriogram', 'D': 'External fixation'}",step2&3,A,"['40 year old patient' 'brought' 'emergency department' 'suffering'
 'motor vehicle crash' 'pinned' 'motorcycle' 'about 30 minutes' 'called'
 'evaluating' ""institution's trauma guidelines"" 'discover pain'
 'palpation' 'right' 'much larger' 'left' 'patient admits'
 'decreased sensation' 'right lower extremity' 'move' 'leg' 'palpable'
 'posterior tibial pulses' 'extremity' 'colder' 'paler' 'comparison to'
 'left side' 'Measured compartment pressure' 'distal right leg' '35 mm Hg'
 'next best step' ""patient's care""]",A,"', step_by_step=\""1. The patient has been pinned under a motorcycle for an extended period, which raises suspicion for compartment syndrome due to muscle and nerve damage in the right lower extremity. \\n2. The key signs of compartment syndrome include severe pain, swelling, decreased sensation, and the absence of pulses, which are all present in this patient. \\n3. The measured compartment pressure of 35 mm Hg is significantly elevated (normal is typically less than 10-15 mm Hg"
668,An 18-month-old boy is brought to the physician by his mother because of a 2-day history of fever and a pruritic rash that started on his trunk and then progressed to his face and extremities. He has not received any childhood vaccinations because his parents believe that they are dangerous. His temperature is 38.0°C (100.4°F). A photograph of the rash is shown. Which of the following is the most likely diagnosis?,Varicella,"{'A': 'Nonbullous impetigo', 'B': 'Varicella', 'C': 'Rubella', 'D': 'Erythema infectiosum'}",step1,B,"['month old boy' 'brought' 'physician' 'mother' '2-day history' 'fever'
 'pruritic rash' 'started' 'trunk' 'then progressed' 'face' 'extremities'
 'not received' 'childhood vaccinations' 'parents' 'dangerous'
 'temperature' '100 4F' 'photograph' 'rash' 'shown' 'following'
 'most likely diagnosis']",B,"', step_by_step='1. The patient is an 18-month-old boy with a fever and a pruritic rash.  \\n2. The rash started on the trunk and then progressed to the face and extremities, which is characteristic of certain viral infections.  \\n3. The child has not received any vaccinations, making him susceptible to vaccine-preventable diseases.  \\n4. Nonbullous impetigo usually presents with honey-colored crusts and is not typically associated with a fever or systemic symptoms.  \\n5. Rubella usually presents with a rash that starts on the face and spreads downward, but it is less common in unvaccinated children compared to varicella.  \\n6. Erythema infectiosum (fifth disease"
669,"A 43-year-old male is brought to the emergency department after his son found him vomiting bright red blood. He is visibly intoxicated, and hospital records indicate a long history of alcohol substance abuse treated with antabuse (disulfiram). Vital signs include T 98.4, HR 89, BP 154/92, and RR 20. EGD is notable for mild esophagitis, and a longitudinal esophageal tear at the gastroesophageal junction, with no active bleeding. What is the next best course of action?",Conservative management with IV fluid hydration and observation,"{'A': 'Cyanoacrylate injection and ligation with banding, IV fluid hydration, and NPO', 'B': 'Conservative management with IV fluid hydration and observation', 'C': 'Esophageal manometry and impedance studies', 'D': 'Calcium channel blockage and Botox injection of the lower esophageal sphincter'}",step2&3,B,"['year old male' 'brought' 'emergency department' 'son found'
 'vomiting bright red blood' 'hospital records'
 'long history of substance treated with antabuse' 'disulfiram'
 'Vital signs include T 4' 'BP' 'RR 20' 'EGD' 'notable' 'mild esophagitis'
 'longitudinal esophageal tear' 'gastroesophageal junction'
 'active bleeding' 'next best course' 'action']",B,"', step_by_step=\""1. The patient is a 43-year-old male with a history of alcohol abuse who presented with hematemesis (vomiting bright red blood"
670,A medical student is preparing a patient for an appendectomy. He is asked by the surgeon to disinfect the patient’s skin with a chlorhexidine-isopropyl alcohol solution before the procedure. Recent studies have shown that this solution substantially reduces the risk of surgical site infections compared with a povidone-iodine preparation without alcohol in clean-contaminated surgery. Which of the following mechanisms best describes the mechanism of action of chlorhexidine?,Its activity depends on pH and is greatly reduced in the presence of organic matter,"{'A': 'Bactericidal at low concentrations', 'B': 'Cell wall damage by free radical release', 'C': 'Attack of free-sulfur amino acids, nucleotides, and fatty acids within the bacteria', 'D': 'Its activity depends on pH and is greatly reduced in the presence of organic matter'}",step1,D,"['medical student' 'preparing' 'patient' 'appendectomy' 'surgeon to'
 'patients skin' 'chlorhexidine-isopropyl alcohol solution' 'procedure'
 'Recent studies' 'shown' 'solution'
 'risk of surgical site infections compared' 'povidone-iodine preparation'
 'alcohol' 'clean contaminated surgery' 'following mechanisms best'
 'mechanism of action' 'chlorhexidine']",C,"', step_by_step=\""1. Chlorhexidine is a cationic antiseptic that works primarily by disrupting the cell membrane of bacteria. \\n2. The mechanism of action involves the binding of chlorhexidine to the negatively charged components of the bacterial cell wall, leading to cell lysis.\\n3. It also interacts with free-sulfur amino acids, nucleotides, and fatty acids within the bacteria, which contributes to its bactericidal effect.\\n4. While chlorhexidine can have some bactericidal activity at low concentrations, its primary mechanism is through cell wall disruption and interaction with cellular components, which aligns with option C.\\n5. Thus, the best description of the mechanism of action of chlorhexidine is 'Attack of free-sulfur amino acids, nucleotides, and fatty acids within the bacteria'.\"""
671,"A 19-year-old man with a past medical history significant only for facial acne presents with increased inguinal pruritis. Relevant social history includes participation in school wrestling. He has no significant family history. Other than the pruritic rash, a review of systems is negative. On physical examination, there is an erythematous, well-demarcated patch on his left thigh, over his pubic region, and throughout the perineum. The scrotum is spared. Which of the following is the most likely diagnosis?",Tinea cruris,"{'A': 'Tinea corporis', 'B': 'Tinea cruris', 'C': 'Candidal balanitis', 'D': 'Tinea unguium'}",step2&3,B,"['year old man' 'past medical history significant only'
 'facial acne presents' 'increased inguinal pruritis'
 'Relevant social history includes participation' 'school wrestling'
 'significant family history' 'pruritic rash' 'review of systems'
 'negative' 'physical examination' 'erythematous' 'well' 'patch'
 'left thigh' 'pubic region' 'perineum' 'scrotum' 'following'
 'most likely diagnosis']",B,"', step_by_step='1. The patient is a 19-year-old male with increased inguinal pruritis and a well-demarcated erythematous patch in the inguinal and perineal regions, sparing the scrotum.\\n2. Tinea cruris, also known as \""jock itch,\"" is a fungal infection that typically affects the groin area, presenting as a pruritic rash that may extend to the inner thighs and buttocks, and is well-demarcated.\\n3. Tinea corporis (ringworm"
672,"A 6-week-old girl is brought to the pediatrician for a post-natal visit. She was born at 38 weeks gestation to a 25-year-old woman via an uncomplicated spontaneous vaginal delivery. The mother reports that prenatal screening revealed no developmental abnormalities and that the baby has been gaining weight, feeding, stooling, and urinating appropriately. Physical exam of the infant is unremarkable. The mother has a history of polycystic ovarian syndrome and is curious about the development of her daughter's ovaries. Which of the following is true regarding the baby’s reproductive system at this time?",The baby’s oocytes are arrested in prophase,"{'A': 'The baby has not yet developed oocytes', 'B': 'The baby’s oocytes are arrested in prophase', 'C': 'The baby’s oocytes are arrested in interphase', 'D': 'The baby’s oocytes are fully matured'}",step1,B,"['week old girl' 'brought' 'pediatrician' 'post natal visit' 'born'
 'weeks gestation' 'year old woman'
 'uncomplicated spontaneous vaginal delivery' 'mother reports'
 'prenatal screening revealed' 'developmental abnormalities' 'baby'
 'gaining weight' 'feeding' 'stooling' 'Physical exam' 'infant'
 'unremarkable' 'mother' 'history' 'polycystic ovarian syndrome' 'curious'
 'development' ""daughter's ovaries"" 'following' 'true'
 'reproductive system' 'time']",B,"', step_by_step=\""At 6 weeks of age, the baby girl has a reproductive system that is still in the early stages of development. During fetal development, oocytes begin to form during the first trimester and are present in the ovaries by the end of this period. By the time of birth, the ovaries contain a significant number of oocytes, but these oocytes are not fully matured. Instead, they are arrested in the first stage of meiosis, specifically in prophase of meiosis I. This means that the oocytes are not yet ready for fertilization and will remain in this arrested state until puberty, when they will resume development. Therefore, the correct statement regarding the baby's reproductive system at this time is that the baby\u2019s oocytes are arrested in prophase.\"""
673,"A 7-year-old boy is brought to the physician because of a 3-week history of burning sensation in his mouth. One year ago, a peripheral blood smear performed during workup of fatigue revealed erythrocytes without central pallor. His father had gallstones, for which he underwent a cholecystectomy at the age of 26 years. Examination shows pallor of the mucosal membranes, mild scleral icterus, a swollen, red tongue, and several mouth ulcers. There is darkening of the skin over the dorsal surfaces of the fingers, toes, and creases of the palms and soles. His spleen is enlarged and palpable 3 cm below the left costal margin. Laboratory studies show a hemoglobin concentration of 9.1 gm/dL, mean corpuscular volume of 104 μm3, and a reticulocyte count of 9%. Which of the following would most likely have prevented this patient's oropharyngeal symptoms?",Folic acid supplementation,"{'A': 'Red blood cell transfusions', 'B': 'Gluten-free diet', 'C': 'Vitamin B12 injections', 'D': 'Folic acid supplementation'}",step1,D,"['year old boy' 'brought' 'physician' '3 week history' 'burning sensation'
 'mouth' 'One year ago' 'peripheral blood smear performed' 'workup'
 'fatigue revealed erythrocytes' 'central pallor' 'father' 'gallstones'
 'cholecystectomy' 'age' 'years' 'Examination shows pallor'
 'mucosal membranes' 'mild scleral icterus' 'swollen' 'red'
 'several mouth' 'darkening' 'skin' 'dorsal surfaces of' 'fingers' 'toes'
 'creases' 'palms' 'soles' 'spleen' 'enlarged' 'palpable 3 cm'
 'left costal margin' 'Laboratory studies show a hemoglobin concentration'
 '1 gm dL' 'mean corpuscular volume' 'm3' 'reticulocyte count' 'following'
 'most likely' 'prevented' ""patient's oropharyngeal symptoms""]",C,"', step_by_step=\""1. The patient is a 7-year-old boy with symptoms indicating possible anemia and nutritional deficiencies, as evidenced by his burning mouth sensation, swollen tongue, and mouth ulcers.\\n2. The blood smear shows erythrocytes without central pallor, which is characteristic of macrocytic anemia, often seen in vitamin B12 deficiency or folate deficiency.\\n3. The laboratory findings indicate a low hemoglobin concentration (9.1 gm/dL"
674,An experimental new drug in the treatment of diabetes mellitus type 2 was found to increase the levels of incretins by preventing their degradation at the endothelium. This further increased glucose-dependent insulin production. Which of the following drugs has a mechanism of action most similar to this new experimental drug?,Sitagliptin,"{'A': 'Sitagliptin', 'B': 'Glimepiride', 'C': 'Canagliflozin', 'D': 'Pioglitazone'}",step1,A,"['experimental new drug' 'treatment' 'diabetes mellitus type 2'
 'found to increase' 'levels' 'incretins' 'preventing' 'degradation'
 'endothelium' 'further increased dependent insulin production'
 'following drugs' 'mechanism of action most similar'
 'new experimental drug']",A,"', step_by_step='1. The new experimental drug increases levels of incretins by preventing their degradation, which is a characteristic of DPP-4 inhibitors. DPP-4 inhibitors work by inhibiting the enzyme that breaks down incretins, thus increasing their levels and enhancing insulin secretion in response to meals.\\n2. Among the options, Sitagliptin is a well-known DPP-4 inhibitor that works by the same mechanism of preventing the degradation of incretins, thereby increasing glucose-dependent insulin production.\\n3. Glimepiride is a sulfonylurea that increases insulin secretion but does not specifically affect incretin levels.\\n4. Canagliflozin is an SGLT2 inhibitor that works by promoting glucose excretion via the urine and does not act on incretins.\\n5. Pioglitazone is a thiazolidinedione that improves insulin sensitivity but does not directly involve incretin levels.\\n6. Therefore, the drug with a mechanism of action most similar to the new experimental drug is Sitagliptin.'"
675,"A 60-year-old man with severe persistent asthma since the age of 14 presents with an acute exacerbation of shortness of breath, wheezing, and coughing over the last several days. His asthmatic symptoms are usually well controlled with regular high-dose inhaled triamcinolone, but over the last week or so he has developed a nocturnal cough and mild wheezing despite good compliance with controller medications. A review of several spirometry reports suggest of bronchial asthma with a partial irreversible airway obstruction. Which of the following is most likely to be associated with the recent loss of asthma control in this patient?",Airway remodeling,"{'A': 'Airway epithelial shedding', 'B': 'Airway smooth muscle atrophy', 'C': 'Airway remodeling', 'D': 'Airway hyperresponsiveness'}",step1,C,"['60 year old man' 'severe persistent asthma' 'age' 'presents'
 'acute exacerbation of shortness' 'breath' 'wheezing' 'coughing' 'days'
 'asthmatic symptoms' 'usually well controlled'
 'regular high-dose inhaled triamcinolone' 'last week' 'so'
 'nocturnal cough' 'mild wheezing' 'good compliance'
 'controller medications' 'review' 'spirometry reports suggest'
 'bronchial asthma' 'partial' 'airway' 'following' 'most likely to'
 'associated with' 'recent loss' 'asthma control' 'patient']",C,"', step_by_step='1. The patient has a long history of severe persistent asthma, which suggests chronic inflammation and structural changes in the airways over time.\\n2. The recent exacerbation of symptoms, including nocturnal cough and wheezing, indicates a deterioration in asthma control despite regular use of high-dose inhaled corticosteroids.\\n3. In chronic asthma, repeated inflammation can lead to airway remodeling, which includes changes such as airway wall thickening, increased smooth muscle mass, and subepithelial fibrosis.\\n4. Airway remodeling is a long-term consequence of chronic asthma that can lead to irreversible airway obstruction, as suggested by the spirometry reports indicating partial irreversible airway obstruction.\\n5. Given that the patient has developed new symptoms and has a history of chronic asthma, airway remodeling is the most likely cause of the recent loss of asthma control.'"
676,"A 75-year-old man is admitted to the hospital because of a 3-day history of a productive cough and shortness of breath. His temperature is 38°C (100.4°F) and respirations are 32/min. Crackles are heard over the right upper and the entire left lung fields. Sputum culture confirms infection with Streptococcus pneumoniae. Despite appropriate therapy, the patient dies. A photomicrograph of a section of the lung obtained during the autopsy is shown. Which of the following mediators is most likely responsible for the presence of the cell-type indicated by the arrow?",Platelet activating factor,"{'A': 'Platelet activating factor', 'B': 'Interferon-gamma', 'C': 'Interleukin-10', 'D': 'Leukotriene D4'}",step1,A,"['75 year old man' 'admitted' 'hospital' '3-day history'
 'productive cough' 'shortness of breath' 'temperature' '100 4F'
 'respirations' 'min' 'Crackles' 'heard' 'right upper'
 'entire left lung fields' 'Sputum culture confirms infection'
 'Streptococcus pneumoniae' 'appropriate therapy' 'patient'
 'photomicrograph' 'section' 'lung obtained' 'autopsy' 'shown'
 'following mediators' 'most likely responsible' 'presence of'
 'cell-type indicated' 'arrow']",B,"', step_by_step='1. The patient has a severe pneumonia caused by Streptococcus pneumoniae, which typically leads to an inflammatory response in the lungs. \\n2. The autopsy findings likely show a significant presence of macrophages, which are crucial for responding to bacterial infections. \\n3. Interferon-gamma is a key cytokine that activates macrophages and enhances their ability to phagocytose and kill bacteria. \\n4. The presence of macrophages in the lung tissue, especially in response to a bacterial infection, suggests that interferon-gamma is involved in their recruitment and activation. \\n5. Other options such as Platelet activating factor, Interleukin-10, and Leukotriene D4 play roles in inflammation but are not primarily responsible for macrophage activation in bacterial infections. \\n6. Therefore, the mediator most likely responsible for the presence of the cell-type indicated by the arrow (likely macrophages"
